AÑO;CÓDIGO_MUNICIPIO;MUNICIPIO;CÓDIGO_DEPARTAMENTO;DEPARTAMENTO;CÓDIGO_ETC;ETC;POBLACIÓN_5_16;TASA_MATRICULACIÓN_5_16;COBERTURA_NETA;COBERTURA_NETA_TRANSICIÓN;COBERTURA_NETA_PRIMARIA;COBERTURA_NETA_SECUNDARIA;COBERTURA_NETA_MEDIA;COBERTURA_BRUTA;COBERTURA_BRUTA_TRANSICIÓN;COBERTURA_BRUTA_PRIMARIA;COBERTURA_BRUTA_SECUNDARIA;COBERTURA_BRUTA_MEDIA;DESERCIÓN;DESERCIÓN_TRANSICIÓN;DESERCIÓN_PRIMARIA;DESERCIÓN_SECUNDARIA;DESERCIÓN_MEDIA;APROBACIÓN;APROBACIÓN_TRANSICIÓN;APROBACIÓN_PRIMARIA;APROBACIÓN_SECUNDARIA;APROBACIÓN_MEDIA;REPROBACIÓN;REPROBACIÓN_TRANSICIÓN;REPROBACIÓN_PRIMARIA;REPROBACIÓN_SECUNDARIA;REPROBACIÓN_MEDIA;REPITENCIA;REPITENCIA_TRANSICIÓN;REPITENCIA_PRIMARIA;REPITENCIA_SECUNDARIA;REPITENCIA_MEDIA
2024;68077;Barbosa;68;Santander;3808;Santander (ETC);5977;94.95%;94.86%;64.07%;101.72%;77.44%;44.89%;105.04%;90.26%;114.55%;104.59%;89.97%;4.26%;8.02%;3.81%;4.87%;2.49%;87.13%;0.42%;91.38%;78.05%;93.36%;8.62%;0.42%;4.81%;17.08%;4.15%;8.36%;1.69%;7.08%;13.41%;2.7%
2024;68051;Aratoca;68;Santander;3808;Santander (ETC);1571;87.59%;87.59%;64.46%;81.6%;84.01%;57.61%;96.56%;95.04%;91.04%;101.86%;99.64%;1.39%;0%;0.35%;2.1%;3.13%;95.77%;0%;97.58%;93.51%;94.2%;2.84%;0%;2.07%;4.39%;2.68%;4.09%;1.74%;3.28%;5.53%;4.02%
2024;68020;Albania;68;Santander;3808;Santander (ETC);699;73.1%;73.1%;32%;62.46%;75.52%;57.39%;76.97%;58%;72.01%;87.14%;76.52%;1.3%;6.9%;0%;1.43%;2.27%;95.91%;0%;98.1%;95.24%;93.18%;2.79%;0%;1.9%;3.33%;4.55%;3.72%;6.9%;3.32%;3.81%;3.41%
2024;68013;Aguada;68;Santander;3808;Santander (ETC);275;77.82%;77.82%;40%;68.7%;77.42%;68.09%;81.82%;65%;75.65%;92.47%;82.98%;0.44%;0%;1.15%;0%;0%;97.78%;0%;96.55%;97.67%;100%;1.78%;0%;2.3%;2.33%;0%;1.33%;0%;1.15%;2.33%;0%
2024;68001;Bucaramanga;68;Santander;3809;Bucaramanga;93195;98.71%;98.54%;72.77%;98.66%;87.16%;60.69%;107.3%;93.98%;110.87%;108.36%;103.07%;4.48%;5.86%;4.24%;5.06%;3.09%;88.28%;0.12%;91.83%;82.16%;89.52%;7.24%;0.12%;3.93%;12.78%;7.39%;6.97%;2.77%;5.77%;10.72%;3.31%
2024;66687;Santuario;66;Risaralda;3805;Risaralda (ETC);2279;72.75%;72.75%;67.47%;70.83%;58.74%;37.53%;83.24%;104.82%;84.71%;84.65%;67.61%;7.8%;13.79%;8.22%;6.74%;4.68%;86.58%;0%;89.22%;80.92%;92.77%;5.62%;0%;2.57%;12.34%;2.55%;7.57%;4.6%;7.32%;10.36%;3.4%
2024;66682;Santa Rosa de Cabal;66;Risaralda;3805;Risaralda (ETC);12592;88.87%;88.86%;65.32%;88.96%;76.38%;53.01%;99.09%;88.61%;101.99%;101.05%;93.06%;5.57%;5.33%;4.27%;8.07%;3.63%;89.15%;0%;92.39%;82.15%;93.53%;5.27%;0%;3.34%;9.79%;2.84%;8.27%;2.8%;6.26%;13.61%;4.16%
2024;66594;Quinchía;66;Risaralda;3805;Risaralda (ETC);5333;90.06%;90.06%;63.41%;82.23%;85.08%;64.02%;103.54%;86.03%;91.95%;113.67%;122.96%;3.78%;3.09%;1.63%;5.57%;5.8%;93.52%;0%;96.46%;90.21%;91.55%;2.69%;0%;1.92%;4.22%;2.65%;5.17%;1.29%;4.17%;7.87%;3.66%
2024;66572;Pueblo Rico;66;Risaralda;3805;Risaralda (ETC);4915;102.6%;102.6%;51.09%;95.57%;61.32%;35.51%;124.76%;102.54%;139.14%;116.75%;106.69%;3.42%;1.06%;2.37%;6.7%;4.12%;85.66%;0%;81.69%;87.85%;91.53%;10.91%;0%;15.94%;5.46%;4.36%;9.66%;3%;12.12%;8.73%;2.42%
2024;66456;Mistrató;66;Risaralda;3805;Risaralda (ETC);4689;72.21%;72.21%;43.74%;71.86%;45.98%;28.1%;80.42%;91.3%;97.17%;64.36%;51.43%;7.86%;11.86%;6.63%;9.29%;6.42%;91.25%;0%;92.89%;88.35%;92.91%;0.89%;0%;0.48%;2.35%;0.68%;10.87%;6.05%;15.47%;5.49%;1.68%
2024;66440;Marsella;66;Risaralda;3805;Risaralda (ETC);3046;76.63%;76.63%;53.47%;72.29%;64.01%;36.99%;87.36%;80%;89.07%;94.46%;71.75%;5.28%;2.55%;3.16%;8.48%;5.57%;88.85%;0%;93.07%;81.58%;88.85%;5.87%;0%;3.77%;9.93%;5.57%;9.93%;4.08%;7.89%;15.51%;4.92%
2024;66400;La Virginia;66;Risaralda;3805;Risaralda (ETC);4830;94.33%;94.33%;58.11%;80.97%;88.17%;74.59%;109.77%;80%;94.15%;121.65%;135.93%;6.15%;4%;4.91%;7.78%;6.11%;89.03%;0.36%;91.91%;85.4%;88.26%;4.81%;0.36%;3.18%;6.81%;5.62%;4.92%;2.91%;3.96%;8.01%;1.1%
2024;66383;La Celia;66;Risaralda;3805;Risaralda (ETC);1251;88.81%;88.81%;71.84%;77.26%;80.86%;57.58%;98.24%;82.52%;87.59%;113.88%;102.02%;3.52%;3.53%;3.22%;3.79%;3.7%;93.66%;0%;93.13%;93.13%;95.06%;2.82%;0%;3.65%;3.08%;1.23%;6.17%;2.35%;9.44%;4.98%;1.85%
